sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Atrx_ENSMUST00000143361_105802570_105802588	ENSMUST00000143361_Atrx	145	397	438	397	326	514	477
Gm14820_ENSMUST00000149438_8049092_8049110	ENSMUST00000149438_Gm14820	398	1048	1220	1244	1167	1027	1543
Gm1848_ENSMUST00000120711_21146727_21146709	ENSMUST00000120711_Gm1848	470	1312	1478	1443	1396	1489	1660
Mcf2_ENSMUST00000063507_60179183_60179165	ENSMUST00000063507_Mcf2	357	1407	1249	1787	1150	1282	1334
4930519F16Rik_ENSMUST00000183315_103288148_103288130	ENSMUST00000183315_4930519F16Rik	239	449	526	382	432	359	644
Rnf128_ENSMUST00000113026_139610451_139610469	ENSMUST00000113026_Rnf128	415	676	728	662	611	969	879
Cfp_ENSMUST00000122862_20927839_20927857	ENSMUST00000122862_Cfp	342	897	733	760	703	767	715
Acot9_ENSMUST00000131332_155262443_155262461	ENSMUST00000131332_Acot9	144	612	479	745	555	572	576
Gm6285_ENSMUST00000122012_104947485_104947467	ENSMUST00000122012_Gm6285	156	546	612	768	626	540	580
Sh3kbp1_ENSMUST00000134062_159941447_159941465	ENSMUST00000134062_Sh3kbp1	449	1168	1251	1670	1386	1389	1533
Ftsj1_ENSMUST00000149063_8246602_8246620	ENSMUST00000149063_Ftsj1	191	526	504	581	452	587	605
Lrch2_ENSMUST00000134265_147498321_147498303	ENSMUST00000134265_Lrch2	321	1102	1121	1313	958	1253	1070
Wdr45_ENSMUST00000156000_7721526_7721508	ENSMUST00000156000_Wdr45	159	354	298	328	287	327	324
Slc38a5_ENSMUST00000033512_8271312_8271330	ENSMUST00000033512_Slc38a5	262	929	1027	949	805	808	960
Gm15262_ENSMUST00000208920_161298207_161298225	ENSMUST00000208920_Gm15262	192	731	753	765	625	650	699
negative_control_44_44_44	NA_negative_control	274	1219	1065	942	802	1010	989
Zdhhc9_ENSMUST00000127440_48208916_48208934	ENSMUST00000127440_Zdhhc9	328	1044	1105	873	806	953	1098
Shroom4_ENSMUST00000143641_6400046_6400064	ENSMUST00000143641_Shroom4	264	1196	985	1354	986	938	964
Ints6l_ENSMUST00000142624_56504873_56504855	ENSMUST00000142624_Ints6l	361	979	1090	1115	1027	946	1086
Bcorl1_ENSMUST00000156703_48341818_48341836	ENSMUST00000156703_Bcorl1	177	473	396	506	467	488	498
Gm15190_ENSMUST00000120855_159585364_159585382	ENSMUST00000120855_Gm15190	280	666	800	948	866	741	978
Mtm1_ENSMUST00000129722_71300970_71300988	ENSMUST00000129722_Mtm1	457	1208	1326	1525	1216	1341	1337
Taz_ENSMUST00000146260_74281608_74281626	ENSMUST00000146260_Taz	288	898	769	877	869	801	822
Atrx_ENSMUST00000196998_105852151_105852169	ENSMUST00000196998_Atrx	242	797	729	669	609	766	807
Prdx4_ENSMUST00000130349_155341133_155341115	ENSMUST00000130349_Prdx4	282	797	755	730	748	815	1123
Tex13b_ENSMUST00000044179_140813844_140813862	ENSMUST00000044179_Tex13b	150	523	413	559	432	575	621
Gm25520_ENSMUST00000158389_75101040_75101058	ENSMUST00000158389_Gm25520	536	1322	1395	1685	1475	1524	1602
5530601H04Rik_ENSMUST00000144774_105076095_105076113	ENSMUST00000144774_5530601H04Rik	568	1537	1673	1748	1720	1394	1912
Xlr3a_ENSMUST00000114524_73097262_73097280	ENSMUST00000114524_Xlr3a	708	2339	2337	2486	2106	2496	2839
Irak1_ENSMUST00000114354_74023958_74023976	ENSMUST00000114354_Irak1	433	1400	1396	1437	1145	1336	1588
Fundc1_ENSMUST00000176638_17572307_17572325	ENSMUST00000176638_Fundc1	420	1129	1411	1881	1410	1332	1536
