sgRNA	Gene	R1_Bottom	R1_Top	R1_Unsorted	R2_Bottom	R2_Top	R2_Unsorted	R3_Bottom	R3_Top	R3_Unsorted
Htatsf1_ENSMUST00000088652_57053612_57053630	ENSMUST00000088652_Htatsf1	1609.8408506491285	1171.9156463736613	1426.6428387855046	1106.581016820389	1109.3665364849546	1158.6728024942313	1467.4921158670334	1131.7535390584198	1352.2496827826335
Htatsf1_ENSMUST00000088652_57053538_57053556	ENSMUST00000088652_Htatsf1	1411.0417120454777	1407.9264362683568	1406.3175337553178	1435.9206051597905	1448.4701094494499	1426.224809029212	1557.960481218992	1608.386307049543	1668.6016727914148
Htatsf1_ENSMUST00000088652_57053435_57053453	ENSMUST00000088652_Htatsf1	849.2180594699429	792.4672643446893	796.5583828497086	781.6326229921796	738.3252308866845	740.0833729153098	804.6923023411052	833.6087741434704	860.4419672227635
Htatsf1_ENSMUST00000088652_57053420_57053438	ENSMUST00000088652_Htatsf1	1705.9991296476335	1642.9199382755755	1600.8597390442503	1404.0844449536482	1282.2060307383263	1463.9841647901974	1583.6725429506012	1717.0745323864307	1553.4034691467607
Htatsf1_ENSMUST00000088652_57053401_57053419	ENSMUST00000088652_Htatsf1	1079.3496710056909	969.4753567657111	956.2572080868919	1050.5932868026907	1128.1534380342343	1127.386479149415	817.0721839155838	928.3370439325012	1086.407674371893
Htatsf1_ENSMUST00000088652_57053287_57053305	ENSMUST00000088652_Htatsf1	130.7320422339225	66.12371268601387	102.594396819039	77.94370257365836	84.54105697175777	78.75522773005483	118.08502424887226	73.78833646724499	154.18836487822952
Klhl4_ENSMUST00000133447_114474260_114474278	ENSMUST00000133447_Klhl4	726.049027943768	349.94703329213496	652.3455043021914	873.847707727212	433.0380807108926	645.1455641448327	715.1762355717989	287.1762284130616	537.8869970177317
Klhl4_ENSMUST00000133447_114474207_114474225	ENSMUST00000133447_Klhl4	1148.4971974765258	899.2824925297887	997.87568981537	1035.2241060135186	908.3466899076641	1170.540028590541	1052.289933830676	889.4485963348991	930.4470294375919
Klhl4_ENSMUST00000133447_114474203_114474221	ENSMUST00000133447_Klhl4	1511.5217114484099	1265.5061320215577	1435.353683798442	1665.3605183695736	1488.8619477804007	1561.0796510327307	1642.7150550750373	1225.4846691654607	1428.4577251937126
Klhl4_ENSMUST00000133447_114474198_114474216	ENSMUST00000133447_Klhl4	548.8584913622532	515.7649589509082	634.9238142763169	623.5496205892669	584.2726381825926	589.045949871369	499.0044573097505	443.72715848545977	523.7087565691589
