sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Adgrg4_ENSMUST00000153784_56872139_56872121	ENSMUST00000153784_Adgrg4	533.4969420800812	428.4840884787832	508.77625552687425	411.77116798128054	394.20093949439524	416.60517870536114	472.0523244494436
4930519F16Rik_ENSMUST00000033688_103256678_103256696	ENSMUST00000033688_4930519F16Rik	610.088087230192	508.88007209026625	495.4749155130998	539.0311549361251	555.851684466917	525.5102669146464	526.6381795567896
Tmsb15b2_ENSMUST00000180194_136976870_136976888	ENSMUST00000180194_Tmsb15b2	1169.9957690172077	925.8790200531233	847.1290921272629	556.0531914077922	712.7757994694821	1031.1410336006138	912.5832396115464
Morc4_ENSMUST00000172366_139836523_139836505	ENSMUST00000172366_Morc4	448.98257501789016	407.28075214168877	398.2088666623738	379.3482413685813	439.57658720598033	448.58524429062743	416.6976544814307
Gm14662_ENSMUST00000145552_60893473_60893491	ENSMUST00000145552_Gm14662	1130.3796594568057	1053.9825104230688	1079.9025423683165	1383.6483931969408	1167.4776025793242	1103.7444257401373	1080.9536940975859
Tfe3_ENSMUST00000077680_7762607_7762625	ENSMUST00000077680_Tfe3	1014.1724047462931	1354.3631085319064	1413.2673764635397	1347.172600757654	1490.7790925243676	1271.4236885385606	1486.1191256690138
Syp_ENSMUST00000069520_7638256_7638238	ENSMUST00000069520_Syp	950.7866294496497	947.9658287375967	1000.9258360365304	695.471775842399	890.4970863398569	1070.0357079610728	1080.184879236919
Rps6ka6_ENSMUST00000132319_111538101_111538083	ENSMUST00000132319_Rps6ka6	963.991999303117	429.3675608261621	832.9964183626274	506.60822832342586	774.2219890789202	448.58524429062743	826.4759752168598
Pdzd11_ENSMUST00000015812_100626697_100626679	ENSMUST00000015812_Pdzd11	287.87706280558837	177.57794182316582	256.05079526515897	322.6081197963576	356.38789973474104	293.00654684879134	349.04194674274817
Uba1_ENSMUST00000136915_20680428_20680446	ENSMUST00000136915_Uba1	544.0612379628551	509.7635444376452	515.4269255337615	378.5376682032638	459.42843307979876	514.2740276549582	516.6435863681206
Arxes1_ENSMUST00000057625_136032992_136033010	ENSMUST00000057625_Arxes1	427.85398325234235	365.75755181487887	381.5821916451557	487.9650455211238	400.81822145233474	439.94198332163654	339.04735355407917
Gm45194_ENSMUST00000207962_111891309_111891291	ENSMUST00000207962_Gm45194	2540.7131598071196	3047.0961261099446	2645.303995239402	2153.692900248548	2203.5548919938497	3198.87088462353	2639.3414166692833
Arhgef9_ENSMUST00000196354_95081686_95081668	ENSMUST00000196354_Arhgef9	977.1973691565844	815.4449766307565	857.1050971375937	1018.8904688040741	888.6064343518742	1063.985425282779	999.4593188669
Gm14662_ENSMUST00000145552_60893437_60893455	ENSMUST00000145552_Gm14662	1339.02450314159	1507.2038246284621	1334.2906701317536	1497.128636341388	1498.3417004762985	1718.2802806353898	1564.538241457032
Gdi1_ENSMUST00000146013_74305003_74305021	ENSMUST00000146013_Gdi1	1291.4851716691076	1008.0419483593641	1107.3365561467263	1172.088797049078	1119.265976885765	1008.6685550812374	1124.0073262949293
3010001F23Rik_ENSMUST00000157022_152402295_152402277	ENSMUST00000157022_3010001F23Rik	551.9844598749355	523.0156296483292	581.1022918517731	402.04428999747074	373.4037676265854	579.09848492239	543.5521064914603
Pdha1_ENSMUST00000156531_160129395_160129377	ENSMUST00000156531_Pdha1	1037.9420704825343	1034.5461187807323	1118.1438949079181	1019.7010419693916	1039.858593390491	964.5879241393839	1051.7387293922457
Taz_ENSMUST00000153459_74287246_74287264	ENSMUST00000153459_Taz	515.0094242852269	463.8229823739406	542.8609393121714	638.7316542701753	578.5395083227096	516.8670059456555	455.9072123754398
Rhox9_ENSMUST00000170643_37902018_37902036	ENSMUST00000170643_Rhox9	1431.4620921158614	1845.573733674594	1630.245485438236	1826.2213414602854	1866.0735121389357	1594.68164877882	1655.25839501572
